doctype,filename,url,title,operating_unit,project_id,document_category,pdc_document_type,document_id,modified,created,UN Languages,id,last_update,eval1,eval2,score,pages,project_title_cond,summary_desc_cond,project_id_cond,implementing_partner_cond,start_date_cond,end_date_cond,budget_cond,concept_note_cond,project_document_cond,awp_cond,v1,v2
document deleted,00122873 Plan de Iniciación Prueba Piloto Huertos Agroecológicos.pdf,Document deleted,00122873 Plan de Iniciación Prueba Piloto Huertos Agroecológicos,MEX,00122873,Project,PRODOC,ATLASPDC-4-127398,12/18/2020,12/18/2020,,0,16/03/21,ok,ok,3.0,21.0,False,True,False,False,True,False,True,True,False,False,ok,ok
document deleted,00122873 Plan de Iniciación Prueba Piloto Huertos Agroecológicos (5).pdf,Document deleted,00122873 Plan de Iniciación Prueba Piloto Huertos Agroecológicos,MEX,00122873,Project,PRODOC,ATLASPDC-4-129011,1/15/2021,1/15/2021,,0,16/03/21,ok,ok,3.0,21.0,False,True,False,False,True,False,True,True,False,False,ok,ok
pdf,Agreement signed. FAO Seguro-Defeso.pdf,https://info.undp.org/docs/pdc/Documents/BRA/Agreement signed. FAO Seguro-Defeso.pdf,Agreement signed + Term of Reference,BRA,00122956,Project,PRODOC,ATLASPDC-4-108950,9/28/2020,11/28/2019,,0,16/03/21,good,ok,4.0,24.0,False,True,False,False,True,True,True,False,False,False,ok,ok
pdf,ARG19004 - PRODOC.pdf,https://info.undp.org/docs/pdc/Documents/ARG/ARG19004 - PRODOC.pdf,122957_PRODOC,ARG,00122957,Project,PRODOC,ATLASPDC-4-111146,1/16/2020,1/16/2020,,0,16/03/21,bad,ok,1.0,41.0,False,False,False,False,False,False,True,True,True,False,ok,ok
document deleted,Projet d'appui à la formulation du Projet forêt rev.docx,Document deleted,Projet d'appui à la formulation du Projet forêt rev,SEN,00122985,Project,PRODOC,ATLASPDC-4-107519,10/31/2019,10/30/2019,,0,16/03/21,ok,ok,6.0,6.0,True,True,True,True,False,True,True,True,True,False,ok,ok
document deleted,118379 nota técnica.pdf,Document deleted,118379 nota técnica,MEX,00122992,Project,PRODOC,ATLASPDC-4-115323,02/10/20,02/10/20,,0,16/03/21,ok,review,0.0,8.0,False,False,False,False,False,False,False,False,False,False,ok,ok
document deleted,UNDAF Moldova EN_2018-2022.pdf,Document deleted,UNDAF Moldova EN_20182022,MDA,00123013,Project,PRODOC,ATLASPDC-4-110781,01/12/20,01/12/20,,0,16/03/21,ok,review,1.0,97.0,False,True,False,False,False,False,False,False,False,False,ok,ok
document deleted,UNDP UNFPA_Pro_Doc_Eng_15Jan2020.pdf,Document deleted,UNDP UNFPA project document,UZB,00123059,Project,PRODOC,ATLASPDC-4-117111,3/26/2020,3/26/2020,,0,16/03/21,ok,review,0.0,82.0,False,False,False,False,False,False,False,False,False,False,ok,ok
document deleted,PID118418_CBIT_PPG_DEC 2019.pdf,Document deleted,INITIATION PLAN,HTI,00123067,Project,PRODOC,ATLASPDC-4-120231,6/15/2020,6/15/2020,,0,16/03/21,ok,ok,3.0,22.0,True,True,False,False,False,False,True,True,True,False,ok,ok
document deleted,RSF ProDoc (Nigeria Window)_Signed_13022020.pdf,Document deleted,Regional Stabilisation Facility for Lake Chad-Nigeria Window,NGA,00123140,Project,PRODOC,ATLASPDC-4-116432,03/10/20,03/10/20,,0,16/03/21,ok,review,1.0,63.0,False,False,False,False,False,False,True,False,False,False,ok,ok
